route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_300,1_922_232_13_300_1,1_15346_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15347_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15349_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15350_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15351_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15352_922,,0,1_300_I
1_306,1_925_237_13_306_1,1_15400_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15401_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15402_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15403_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15404_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15409_925,,1,1_306_V
1_306,1_925_237_13_306_1,1_15419_925,,0,1_306_I
1_306,1_925_237_13_306_1,1_15420_925,,0,1_306_I
1_306,1_925_237_13_306_1,1_15421_925,,0,1_306_I
1_306,1_925_237_13_306_1,1_15422_925,,0,1_306_I
1_306,1_925_237_13_306_1,1_15423_925,,0,1_306_I
1_308,1_925_243_13_308_1,1_15495_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15496_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15497_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15498_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15499_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15502_925,,1,1_308_V
1_308,1_925_243_13_308_1,1_15503_925,,1,1_308_V
1_311,1_925_243_13_311_1,1_15504_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15505_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15506_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15507_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15508_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15509_925,,1,1_311_V
1_311,1_925_243_13_311_1,1_15510_925,,1,1_311_V
1_308,1_925_243_13_308_1,1_15511_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15512_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15513_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15514_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15515_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15517_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15518_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15519_925,,0,1_308_I
1_308,1_925_243_13_308_1,1_15521_925,,0,1_308_I
1_311,1_925_243_13_311_1,1_15522_925,,0,1_311_I
1_311,1_925_243_13_311_1,1_15523_925,,0,1_311_I
1_311,1_925_243_13_311_1,1_15524_925,,0,1_311_I
1_311,1_925_243_13_311_1,1_15525_925,,0,1_311_I
1_311,1_925_243_13_311_1,1_15526_925,,0,1_311_I
1_311,1_925_243_13_311_1,1_15527_925,,0,1_311_I
1_286,1_966_261_10_286_1,1_16154_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16155_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16156_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16157_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16158_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16159_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16160_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16161_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16162_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16163_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16164_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16165_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16166_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16167_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16168_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16169_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16170_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16171_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16172_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16173_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16174_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16175_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16176_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16177_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16178_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16179_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16180_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16181_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16182_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16183_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16184_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16185_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16186_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16187_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16188_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16189_966,,1,1_286_V
1_286,1_966_261_10_286_1,1_16191_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16192_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16193_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16194_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16195_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16196_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16197_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16198_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16199_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16200_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16201_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16202_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16203_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16204_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16205_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16206_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16207_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16208_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16209_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16210_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16211_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16212_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16213_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16214_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16215_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16216_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16217_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16218_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16219_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16220_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16221_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16222_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16223_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16224_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16225_966,,0,1_286_I
1_286,1_966_261_10_286_1,1_16226_966,,0,1_286_I
1_286,1_967_262_10_286_2,1_16227_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16228_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16229_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16230_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16231_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16232_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16233_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16234_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16235_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16236_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16237_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16238_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16239_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16240_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16241_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16242_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16243_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16244_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16245_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16246_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16247_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16248_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16249_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16250_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16251_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16252_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16253_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16254_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16255_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16256_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16257_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16258_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16259_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16260_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16261_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16262_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16263_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16264_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16265_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16266_967,,0,1_286_I
